notes,year,year_code,state,state_code,ten-year_age_groups,ten-year_age_groups_code,sex,sex_code,deaths,population,crude_rate
,1999.0,1999.0,Illinois,17.0,85+ years,85+,Male,M,25.0,51612.0,48.4
,1999.0,1999.0,Indiana,18.0,15-24 years,15-24,Female,F,13.0,428517.0,
,1999.0,1999.0,Indiana,18.0,15-24 years,15-24,Male,M,80.0,447229.0,17.9
,1999.0,1999.0,Indiana,18.0,25-34 years,25-34,Female,F,13.0,415602.0,
,1999.0,1999.0,Indiana,18.0,25-34 years,25-34,Male,M,108.0,421341.0,25.6
,1999.0,1999.0,Indiana,18.0,35-44 years,35-44,Female,F,29.0,483409.0,6.0
,1999.0,1999.0,Indiana,18.0,35-44 years,35-44,Male,M,118.0,478858.0,24.6
,1999.0,1999.0,Indiana,18.0,45-54 years,45-54,Female,F,24.0,402438.0,6.0
,1999.0,1999.0,Indiana,18.0,45-54 years,45-54,Male,M,81.0,393302.0,20.6
,1999.0,1999.0,Indiana,18.0,55-64 years,55-64,Male,M,29.0,252551.0,11.5
,1999.0,1999.0,Indiana,18.0,65-74 years,65-74,Male,M,37.0,176842.0,20.9
,1999.0,1999.0,Indiana,18.0,75-84 years,75-84,Male,M,43.0,100207.0,42.9
,1999.0,1999.0,Indiana,18.0,85+ years,85+,Male,M,17.0,24687.0,
,1999.0,1999.0,Iowa,19.0,15-24 years,15-24,Male,M,48.0,218633.0,22.0
,1999.0,1999.0,Iowa,19.0,25-34 years,25-34,Male,M,41.0,185897.0,22.1
,1999.0,1999.0,Iowa,19.0,35-44 years,35-44,Female,F,11.0,224126.0,
,1999.0,1999.0,Iowa,19.0,35-44 years,35-44,Male,M,49.0,224360.0,21.8
,1999.0,1999.0,Iowa,19.0,45-54 years,45-54,Female,F,10.0,190483.0,
,1999.0,1999.0,Iowa,19.0,45-54 years,45-54,Male,M,35.0,192057.0,18.2
,1999.0,1999.0,Iowa,19.0,55-64 years,55-64,Male,M,29.0,124230.0,23.3
,1999.0,1999.0,Iowa,19.0,65-74 years,65-74,Male,M,22.0,96751.0,22.7
,1999.0,1999.0,Iowa,19.0,75-84 years,75-84,Male,M,19.0,62126.0,
,1999.0,1999.0,Iowa,19.0,85+ years,85+,Male,M,10.0,17776.0,
,1999.0,1999.0,Kansas,20.0,15-24 years,15-24,Male,M,49.0,204698.0,23.9
,1999.0,1999.0,Kansas,20.0,25-34 years,25-34,Male,M,47.0,179830.0,26.1
,1999.0,1999.0,Kansas,20.0,35-44 years,35-44,Female,F,14.0,211678.0,
,1999.0,1999.0,Kansas,20.0,35-44 years,35-44,Male,M,47.0,212272.0,22.1
,1999.0,1999.0,Kansas,20.0,45-54 years,45-54,Female,F,15.0,171823.0,
,1999.0,1999.0,Kansas,20.0,45-54 years,45-54,Male,M,38.0,172334.0,22.1
,1999.0,1999.0,Kansas,20.0,55-64 years,55-64,Male,M,24.0,105733.0,22.7
,1999.0,1999.0,Kansas,20.0,65-74 years,65-74,Male,M,18.0,80409.0,
,1999.0,1999.0,Kansas,20.0,75-84 years,75-84,Male,M,18.0,50391.0,
,1999.0,1999.0,Kentucky,21.0,15-24 years,15-24,Male,M,47.0,292201.0,16.1
,1999.0,1999.0,Kentucky,21.0,25-34 years,25-34,Female,F,12.0,284672.0,
,1999.0,1999.0,Kentucky,21.0,25-34 years,25-34,Male,M,75.0,285353.0,26.3
,1999.0,1999.0,Kentucky,21.0,35-44 years,35-44,Female,F,20.0,324696.0,6.2
,1999.0,1999.0,Kentucky,21.0,35-44 years,35-44,Male,M,97.0,316592.0,30.6
