Notes,Year,Year Code,State,State Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Sex,Sex Code,Deaths,Population,Crude Rate
,1999,1999,Maryland,24,25-34 years,25-34,Male,M,66,370486,17.8
,1999,1999,Maryland,24,35-44 years,35-44,Female,F,22,469739,4.7
,1999,1999,Maryland,24,35-44 years,35-44,Male,M,76,441710,17.2
,1999,1999,Maryland,24,45-54 years,45-54,Female,F,12,381821,Unreliable
,1999,1999,Maryland,24,45-54 years,45-54,Male,M,58,352869,16.4
,1999,1999,Maryland,24,55-64 years,55-64,Male,M,36,219754,16.4
,1999,1999,Maryland,24,65-74 years,65-74,Male,M,36,143252,25.1
,1999,1999,Maryland,24,75-84 years,75-84,Male,M,27,80138,33.7
,1999,1999,Massachusetts,25,5-14 years,14-May,Male,M,10,440693,Unreliable
,1999,1999,Massachusetts,25,15-24 years,15-24,Female,F,12,402622,Unreliable
,1999,1999,Massachusetts,25,15-24 years,15-24,Male,M,32,401845,8
,1999,1999,Massachusetts,25,25-34 years,25-34,Female,F,15,485017,Unreliable
,1999,1999,Massachusetts,25,25-34 years,25-34,Male,M,69,469735,14.7
,1999,1999,Massachusetts,25,35-44 years,35-44,Female,F,29,537544,5.4
,1999,1999,Massachusetts,25,35-44 years,35-44,Male,M,77,519686,14.8
,1999,1999,Massachusetts,25,45-54 years,45-54,Female,F,18,437202,Unreliable
,1999,1999,Massachusetts,25,45-54 years,45-54,Male,M,57,412688,13.8
,1999,1999,Massachusetts,25,55-64 years,55-64,Female,F,15,279849,Unreliable
,1999,1999,Massachusetts,25,55-64 years,55-64,Male,M,40,254634,15.7
,1999,1999,Massachusetts,25,65-74 years,65-74,Male,M,14,190689,Unreliable
,1999,1999,Massachusetts,25,75-84 years,75-84,Male,M,19,118356,Unreliable
,1999,1999,Massachusetts,25,85+ years,85+,Male,M,11,30087,Unreliable
,1999,1999,Michigan,26,5-14 years,14-May,Male,M,11,764115,Unreliable
,1999,1999,Michigan,26,15-24 years,15-24,Female,F,20,667635,3
,1999,1999,Michigan,26,15-24 years,15-24,Male,M,119,690022,17.2
,1999,1999,Michigan,26,25-34 years,25-34,Female,F,22,688607,3.2
,1999,1999,Michigan,26,25-34 years,25-34,Male,M,167,689292,24.2
,1999,1999,Michigan,26,35-44 years,35-44,Female,F,51,808984,6.3
,1999,1999,Michigan,26,35-44 years,35-44,Male,M,166,796374,20.8
,1999,1999,Michigan,26,45-54 years,45-54,Female,F,43,673980,6.4
,1999,1999,Michigan,26,45-54 years,45-54,Male,M,132,656207,20.1
